SCHOOL_ID,EXAMEN_JAAR,INSTELLINGSNAAM_VESTIGING,POSTCODE_VESTIGING,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,PROVINCIE,SOORT_PO,DENOMINATIE_VESTIGING,BEVOEGD_GEZAG_NUMMER,AANTAL_LEERLINGEN_EXAMEN,EXAMEN,EXAMEN_AANTAL,EXAMEN_GEM
013JK,2015,Openbare Basisschool op Koers,7051AK,VARSSEVELD,1509,Oude IJsselstreek,Gelderland,Bo,Openbaar,41501,47.0,CET,47,534.4
113JK,2015,Obs Wethouder Berkhoff,7065BB,SINDEREN,1509,Oude IJsselstreek,Gelderland,Bo,Openbaar,41501,5.0,CET,5,541.8
013JL,2015,obs Op Weg,4542AG,HOEK,715,Terneuzen,Zeeland,Bo,Openbaar,40803,11.0,CET,11,529.9
013JP,2015,It Twaspan,9287LV,TWIJZELERHEIDE,59,Achtkarspelen,Friesland,Bo,Openbaar,41492,8.0,CET,8,540.1
013JQ,2015,Omnis school de Schakel,4436AC,OUDELANDE,654,Borsele,Zeeland,Bo,Openbaar,42634,9.0,CET,9,536.7
013JR,2015,Obs Schengehof,4458BJ,'S-HEER ARENDSKERKE,664,Goes,Zeeland,Bo,Openbaar,41670,7.0,CET,7,531.4
013JV,2015,Paschalisschool,2596XH,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Rooms-Katholiek,20281,56.0,ROUTE8,56,216.0
013JX,2015,Chr BS Anna van Buren,7523BJ,ENSCHEDE,153,Enschede,Overijssel,Bo,Protestants-Christelijk,24844,67.0,CET,65,536.9
013JY,2015,Basissch Sint Bonifacius,7482SR,HAAKSBERGEN,158,Haaksbergen,Overijssel,Bo,Rooms-Katholiek,25351,18.0,CET,18,532.9
013KB,2015,Willem van Oranjeschool,8265ZD,KAMPEN,166,Kampen,Overijssel,Bo,Protestants-Christelijk,41125,47.0,DREMPEL,47,102.2
013KD,2015,De Hoeksteen,3263BP,OUD-BEIJERLAND,584,Oud-Beijerland,Zuid-Holland,Bo,Protestants-Christelijk,41127,31.0,CET,30,537.9
013KG,2015,Basissch Oranje Nassau,6717JA,EDE GLD,228,Ede,Gelderland,Bo,Protestants-Christelijk,42587,17.0,CET,17,530.9
013KI,2015,RK BS Geert Groote,3315SB,DORDRECHT,505,Dordrecht,Zuid-Holland,Bo,Rooms-Katholiek,46385,44.0,CET,44,533.5
013KK,2015,Cornelis Musiusschool,2628SR,DELFT,503,Delft,Zuid-Holland,Bo,Rooms-Katholiek,40928,13.0,CET,12,527.3
013KM,2015,Basissch de Lindegaerd,6231BP,MEERSSEN,938,Meerssen,Limburg,Bo,Rooms-Katholiek,41506,15.0,CET,15,540.2
013KN,2015,Sjaloom,8313AR,RUTTEN,171,Noordoostpolder,Flevoland,Bo,Protestants-Christelijk,52274,6.0,CET,6,541.8
013KQ,2015,Sint Jozef Basisschool,1131DZ,VOLENDAM,385,Edam-Volendam,Noord-Holland,Bo,Rooms-Katholiek,72853,30.0,CET,30,535.6
013KR,2015,De Wendakker,7576VR,OLDENZAAL,173,Oldenzaal,Overijssel,Bo,Rooms-Katholiek,75219,22.0,CET,22,534.5
013KS,2015,Samen Onderweg,4205PG,GORINCHEM,512,Gorinchem,Zuid-Holland,Bo,Protestants-Christelijk,41396,35.0,CET,35,537.1
013KT,2015,Dreefschool v PC Bso,2012HS,HAARLEM,392,Haarlem,Noord-Holland,Bo,Protestants-Christelijk,85255,57.0,CET,56,538.3
013KU,2015,Dr. H. Boumanschool,8262TZ,KAMPEN,166,Kampen,Overijssel,Bo,Protestants-Christelijk,41125,22.0,DREMPEL,21,97.0
013KV,2015,Bs md Bijbel v Damschool,3881JC,PUTTEN,273,Putten,Gelderland,Bo,Protestants-Christelijk,40667,17.0,CET,17,535.3
013KX,2015,Basisschool Ichthus,1068SJ,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Protestants-Christelijk,81316,42.0,CET,42,532.5
013LA,2015,Ekkelhof,9533PL,DROUWEN,1681,Borger-Odoorn,Drenthe,Bo,Openbaar,42554,7.0,CET,7,535.9
013LE,2015,Basisschool de Branding,3232DA,BRIELLE,501,Brielle,Zuid-Holland,Bo,Openbaar,41570,34.0,CET,34,534.3
013LI,2015,Valkhof Obs v Daltonond,9301SP,RODEN,1699,Noordenveld,Drenthe,Bo,Openbaar,11711,41.0,CET,39,537.2
013LM,2015,Basisschool de Singel,3112GH,SCHIEDAM,606,Schiedam,Zuid-Holland,Bo,Openbaar,41567,116.0,CET,116,530.7
013LO,2015,Bs Giethoorn Zuid,8355BT,GIETHOORN,1708,Steenwijkerland,Overijssel,Bo,Openbaar,41816,17.0,CET,16,534.7
013LR,2015,Obs Kleyenburg,8801KK,FRANEKER,70,Franekeradeel,Friesland,Bo,Openbaar,41361,6.0,CET,6,528.0
013LV,2015,Obs de Schuttershoek,4515EA,IJZENDIJKE,1714,Sluis,Zeeland,Bo,Openbaar,41637,11.0,CET,11,526.7
013LW,2015,De Driehoek,3025EJ,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Openbaar,41775,12.0,CET,11,530.7
013LY,2015,Samenw Sch Bso Itens,8735HT,ITENS,140,Littenseradiel,Friesland,Bo,"Samenwerking Opb., PC",41856,6.0,CET,6,541.3
013MB,2015,Cornelis Jetses,6961BH,EERBEEK,213,Brummen,Gelderland,Bo,Openbaar,41566,13.0,CET,13,536.0
013MF,2015,Obs Michiel de Ruyter,1181ER,AMSTELVEEN,362,Amstelveen,Noord-Holland,Bo,Openbaar,41580,44.0,CET,44,540.1
013MG,2015,OBS de Opbouw,5624BE,EINDHOVEN,772,Eindhoven,Noord-Brabant,Bo,Openbaar,41248,18.0,CET,18,535.8
013MH,2015,SSBO De Windroos,3221VJ,HELLEVOETSLUIS,530,Hellevoetsluis,Zuid-Holland,Sbo,Openbaar,41570,52.0,DREMPEL,43,72.1
013MI,2015,Obs de Oudvaart,8604ZC,SNEEK,1900,S·dwest-FryslÔn,Friesland,Bo,Openbaar,42546,33.0,CET,33,535.4
013MM,2015,Pr Willem Alexandersch,4061AR,OPHEMERT,304,Neerijnen,Gelderland,Bo,Openbaar,41561,19.0,CET,19,531.8
013MN,2015,Basisschool Overstegen,7002KA,DOETINCHEM,222,Doetinchem,Gelderland,Bo,Openbaar,41371,46.0,CET,43,525.7
013MO,2015,WereldKidz Triangel,3607NZ,MAARSSEN,1904,Stichtse Vecht,Utrecht,Bo,Openbaar,41496,12.0,CET,12,529.1
013MP,2015,Basissch de Viermaster,3351GZ,PAPENDRECHT,590,Papendrecht,Zuid-Holland,Bo,Openbaar,41560,50.0,DREMPEL,50,101.1
013MS,2015,Basissch Dr Ryk Kramer,1052EC,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Protestants-Christelijk,81316,59.0,CET,58,544.6
113MS,2015,De Vlinderboom,1053RM,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Protestants-Christelijk,81316,10.0,CET,9,539.7
013MT,2015,RK Basissch De Vlonder,5403LV,UDEN,856,Uden,Noord-Brabant,Bo,Rooms-Katholiek,32177,45.0,CET,45,537.1
013MV,2015,De Morgenster,8042HM,ZWOLLE,193,Zwolle,Overijssel,Bo,Protestants-Christelijk,40934,34.0,CET,34,531.9
013MW,2015,'t Palet,6605HK,WIJCHEN,296,Wijchen,Gelderland,Bo,Rooms-Katholiek,38001,36.0,CET,36,526.4
013MX,2015,Basisschool de Heycant,5481CP,SCHIJNDEL,844,Schijndel,Noord-Brabant,Bo,Rooms-Katholiek,40874,60.0,CET,60,533.2
013MY,2015,PC Bs de Horizon,2903TJ,CAPELLE AAN DEN IJSSEL,502,Capelle aan den IJssel,Zuid-Holland,Bo,Protestants-Christelijk,43227,54.0,CET,54,535.9
013MZ,2015,Klaverblad,1102MX,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,"Samenwerking PC, RK",43864,35.0,CET,34,526.1
013NA,2015,Prinses Margrietschool,3078WR,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Protestants-Christelijk,47595,27.0,CET,27,536.2
013NB,2015,Basissch Pater vd Geld,5144GJ,WAALWIJK,867,Waalwijk,Noord-Brabant,Bo,Rooms-Katholiek,71008,57.0,CET,57,533.7
013NC,2015,Ireneschool v Chr Bso,6707GW,WAGENINGEN,289,Wageningen,Gelderland,Bo,Protestants-Christelijk,41460,18.0,CET,18,532.2
013NG,2015,Chr Bs de Hoeksteen,9101HE,DOKKUM,58,Dongeradeel,Friesland,Bo,Protestants-Christelijk,40788,25.0,CET,24,535.2
013NH,2015,Basisschool de Regenboog,1356GA,ALMERE,34,Almere,Flevoland,Bo,Protestants-Christelijk,40114,50.0,CET,50,537.5
013NI,2015,Prinses Beatrixschool,3905DR,VEENENDAAL,345,Veenendaal,Utrecht,Bo,Protestants-Christelijk,70085,21.0,CET,21,535.7
013NP,2015,Beatrixschool,7461VW,RIJSSEN,1742,Rijssen-Holten,Overijssel,Bo,Protestants-Christelijk,77196,26.0,ROUTE8,26,219.0
013NU,2015,De Goede Herder,1333EC,ALMERE,34,Almere,Flevoland,Bo,Rooms-Katholiek,40950,30.0,CET,30,533.2
013NV,2015,PC Basissch de Schakel,2231ZD,RIJNSBURG,537,Katwijk,Zuid-Holland,Bo,Protestants-Christelijk,80095,27.0,CET,27,538.1
013NX,2015,Dr. J. Woltjerschool,3025BH,ROTTERDAM,599,Rotterdam,Zuid-Holland,Bo,Protestants-Christelijk,74531,40.0,CET,40,529.2
013NZ,2015,De Oude Vaart,4537XH,TERNEUZEN,715,Terneuzen,Zeeland,Bo,Protestants-Christelijk,41241,29.0,CET,28,535.1
013OA,2015,Basisschool Pr Beatrix,3794MJ,DE GLIND,203,Barneveld,Gelderland,Bo,Protestants-Christelijk,83579,9.0,CET,9,531.7
013OD,2015,Obs De Stelling,8423TG,MAKKINGA,85,Ooststellingwerf,Friesland,Bo,Openbaar,41631,17.0,DREMPEL,17,105.4
013OE,2015,OBS Driespan,9617BN,HARKSTEDE,40,Slochteren,Groningen,Bo,Openbaar,41779,72.0,CET,72,538.5
013OF,2015,Basisschool B,8331KG,STEENWIJK,1708,Steenwijkerland,Overijssel,Bo,Openbaar,41816,29.0,CET,29,529.4
013OJ,2015,Basisschool de Tandem,3332CS,ZWIJNDRECHT,642,Zwijndrecht,Zuid-Holland,Bo,Openbaar,41642,19.0,DREMPEL,18,102.1
013OK,2015,Basisschool Markenburg,3211AV,GEERVLIET,568,Bernisse,Zuid-Holland,Bo,Openbaar,41570,16.0,CET,14,540.1
013ON,2015,Obs Leemvoortschool,7054CJ,WESTENDORP,1509,Oude IJsselstreek,Gelderland,Bo,Openbaar,41501,7.0,CET,7,533.9
013OS,2015,Obs de Kloetingse School,4481BK,KLOETINGE,664,Goes,Zeeland,Bo,Openbaar,41670,24.0,CET,24,535.0
013OT,2015,Basisschool de Flambou,8401AA,GORREDIJK,86,Opsterland,Friesland,Bo,Openbaar,41806,9.0,ROUTE8,9,195.1
013OW,2015,IC BS Statenkwartier,2582VB,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Rooms-Katholiek,20281,28.0,CET,28,539.6
013PA,2015,RKbs Bonifacius Roncalli,2405CC,ALPHEN AAN DEN RIJN,484,Alphen aan den Rijn,Zuid-Holland,Bo,Rooms-Katholiek,28601,47.0,CET,45,540.3
013PG,2015,Basisschool De Duif,3205TG,SPIJKENISSE,612,Spijkenisse,Zuid-Holland,Bo,Protestants-Christelijk,45917,45.0,IEP,22,73.0
013PH,2015,Basissch Petrus Canisius,6511VZ,NIJMEGEN,268,Nijmegen,Gelderland,Bo,Rooms-Katholiek,47100,26.0,CET,25,535.3
113PH,2015,Basissch Petrus Canisius,6512GD,NIJMEGEN,268,Nijmegen,Gelderland,Bo,Rooms-Katholiek,47100,23.0,CET,21,533.7
013PI,2015,Bernadette Mariaschool,2612XZ,DELFT,503,Delft,Zuid-Holland,Bo,Rooms-Katholiek,40928,28.0,CET,28,534.4
013PK,2015,Chr Basisschool Rehoboth,7671RK,VRIEZENVEEN,1700,Twenterand,Overijssel,Bo,Protestants-Christelijk,61751,13.0,CET,13,531.8
013PL,2015,St Nicolaas Basisschool,1131DR,VOLENDAM,385,Edam-Volendam,Noord-Holland,Bo,Rooms-Katholiek,72853,34.0,CET,34,537.8
013PP,2015,De Morgenster,8265KA,KAMPEN,166,Kampen,Overijssel,Bo,Protestants-Christelijk,41125,28.0,DREMPEL,28,104.4
013PQ,2015,Bs md Bijbel bij de Bron,3881BL,PUTTEN,273,Putten,Gelderland,Bo,Protestants-Christelijk,40862,23.0,CET,23,533.1
013PR,2015,Basissch Prof.H. Kraemer,1068BZ,AMSTERDAM,363,Amsterdam,Noord-Holland,Bo,Protestants-Christelijk,81316,22.0,CET,22,526.2
